order_id,customer_id,performance_id,order_datetime,pay_card_number,pay_cardholder,pay_expiry
1,110,7,2026-05-18 12:00:00,3180243506686185,Benjamin Khan,05/2030
2,40,8,2026-06-22 12:00:00,4748075051104193,Isabella Tremblay,05/2031
3,96,8,2026-06-04 12:00:00,6960487089703278,Noah Roy,06/2027
4,59,9,2026-06-10 12:00:00,8700045131871474,Mia Tremblay,12/2027
5,61,9,2026-06-17 12:00:00,6091714242445345,Emma Patel,11/2030
6,79,22,2025-10-09 12:00:00,9515453918731015,Harper Khan,10/2029
7,16,24,2026-01-17 12:00:00,2776415774721555,Sophia Martin,06/2027
8,62,25,2025-11-20 12:00:00,8325650001753113,Aria Rossi,07/2032
9,65,25,2025-11-10 12:00:00,4947624696603128,Benjamin Ivanov,08/2028
10,67,31,2025-09-15 12:00:00,5895125119438584,Amelia Ali,02/2030
11,86,34,2025-09-19 12:00:00,0013027333503572,Ethan Martin,03/2028
12,55,34,2025-09-17 12:00:00,9145130748041416,Daniel Cote,05/2029
13,68,36,2025-12-20 12:00:00,6035598152497403,Evelyn Ali,07/2029
14,92,37,2026-03-15 12:00:00,9155835287592161,Daniel Kim,10/2032
15,40,37,2026-03-04 12:00:00,4748075051104193,Isabella Tremblay,05/2031
16,69,38,2026-03-12 12:00:00,3398189729220306,Lucas Johnson,08/2027
17,19,38,2026-03-08 12:00:00,6977878107714137,Evelyn Murphy,12/2027
18,103,40,2025-11-11 12:00:00,4569642270478814,Charlotte Chen,07/2029
19,111,40,2025-11-11 12:00:00,6755422001641257,Jack Patel,05/2028
20,11,41,2025-12-27 12:00:00,6502823034353366,Charlotte Garcia,04/2027
21,41,41,2025-12-17 12:00:00,3013599738450417,Olivia Ali,12/2027
22,47,45,2026-03-13 12:00:00,7096990102475833,Aria Cote,02/2031
23,41,45,2026-03-08 12:00:00,3013599738450417,Olivia Ali,12/2027
24,12,48,2026-01-08 12:00:00,0898881954327623,Amelia Wong,01/2027
25,68,48,2026-01-18 12:00:00,6035598152497403,Evelyn Ali,07/2029
26,94,51,2025-08-28 12:00:00,6538481731412789,Aria Reyes,12/2031
27,46,52,2025-09-25 12:00:00,3557619070277485,Emma Ivanov,07/2030
28,25,56,2026-05-05 12:00:00,6807109000644840,Evelyn Wilson,06/2030
29,81,56,2026-04-22 12:00:00,5664579381005895,Emma Rossi,01/2029
30,66,61,2025-08-23 12:00:00,0558462392784658,Diego Johnson,10/2031
31,39,61,2025-09-05 12:00:00,2806367822978312,Olivia Smith,04/2031
32,75,62,2025-10-30 12:00:00,7414675934419123,Matthew Bouchard,01/2030
33,31,62,2025-10-04 12:00:00,9112276454062799,Leo Chen,10/2029
34,107,2,2026-05-18 12:00:00,2417229212255183,Emma Wong,09/2027
35,22,4,2026-05-13 12:00:00,6922579665759376,Diego Haddad,11/2030
36,14,12,2026-06-17 12:00:00,4741752530372497,James Martin,05/2032
37,23,13,2026-05-13 12:00:00,9211717110488637,Olivia Wong,01/2028
38,106,13,2026-06-16 12:00:00,1351819752865907,Zoe Ali,05/2028
39,7,14,2026-05-24 12:00:00,9849261090202441,Harper Khan,09/2031
40,47,15,2026-07-04 12:00:00,7096990102475833,Aria Cote,02/2031
41,8,15,2026-05-26 12:00:00,7558722150945291,Noah Reyes,09/2032
42,81,16,2026-07-15 12:00:00,5664579381005895,Emma Rossi,01/2029
43,49,16,2026-06-12 12:00:00,4938210986934054,Evelyn Wong,09/2027
44,31,18,2026-07-27 12:00:00,9112276454062799,Leo Chen,10/2029
45,116,19,2026-05-17 12:00:00,9513197985494038,Sophia Tremblay,08/2031
46,7,20,2026-07-03 12:00:00,9849261090202441,Harper Khan,09/2031
47,58,20,2026-06-21 12:00:00,6253379689888769,Omar Chen,05/2030
48,62,21,2026-05-10 12:00:00,8325650001753113,Aria Rossi,07/2032
49,105,21,2026-05-25 12:00:00,5661290945607411,Daniel Wong,03/2029
